,weekday,hour,day,lang,reach,retweetcount,likes,klout,sentiment,locationid,isreshare
249,Friday,9,1,en,232,1,0,42,0.0,2963,1
250,Friday,10,1,en,1052,4,0,51,0.0,800,1
251,Friday,10,1,en,333,0,0,44,0.0,1330,0
252,Friday,10,1,en,447,0,0,41,0.0,3773,0
253,Friday,10,1,en,959,0,0,47,0.0,3751,0
254,Friday,10,1,en,820,0,0,49,0.0,3775,0
255,Friday,10,1,en,1165,21,0,43,0.0,3776,1
256,Friday,10,1,en,24,0,0,17,1.0,3776,0
257,Friday,10,1,en,171,3,0,42,1.0,3744,1
258,Friday,10,1,en,32,4,0,13,1.66666662693023,1332,1
259,Friday,10,1,en,17299,1,0,47,2.0,3762,1
260,Friday,10,1,en,2867,4,0,51,1.0,211,1
261,Friday,10,1,en,471,0,0,48,0.0,3747,0
262,Friday,10,1,en,964,1,0,45,0.0,3777,1
263,Friday,10,1,en,2266,0,0,51,0.0,800,0
264,Friday,10,1,en,35,0,0,23,0.0,1652,0
265,Friday,10,1,en,460,0,0,39,-1.5,288,0
266,Friday,10,1,en,4852,10,0,50,0.0,3766,1
267,Friday,10,1,en,101,1,0,35,0.0,1336,1
268,Friday,10,1,en,497,0,0,49,0.5,1331,0
269,Friday,10,1,en,1464,0,0,52,0.0,1329,0
270,Friday,11,1,en,45,1,0,36,0.0,3751,0
271,Friday,11,1,en,635,0,0,46,0.0,3778,0
272,Friday,11,1,en,1580,3,0,57,0.0,3019,0
273,Friday,11,1,en,53,91,0,23,0.0,1788,1
274,Friday,11,1,en,828,0,0,44,0.0,3757,0
275,Friday,11,1,en,4107,1,0,60,0.0,2058,1
276,Friday,11,1,en,7836,0,0,61,0.0,3025,0
277,Friday,11,1,en,308,2,0,41,0.0,3019,1
278,Friday,11,1,en,4896,0,0,49,0.0,3764,0
279,Friday,11,1,en,1101,0,0,50,0.0,762,0
280,Friday,11,1,en,46,0,0,40,0.0,3751,0
281,Friday,11,1,en,67,0,0,28,1.0,3751,0
282,Friday,11,1,en,2063,1,0,37,0.0,463,1
283,Friday,11,1,en,2069,0,0,56,1.25,3779,0
284,Friday,11,1,en,1357,0,0,49,0.0,3776,0
285,Friday,11,1,en,72,0,0,21,4.0,3026,0
286,Friday,11,1,en,98,1,0,36,0.0,3780,0
287,Friday,11,1,en,7835,1,0,61,0.0,3025,1
288,Friday,12,1,en,38,0,0,23,0.0,3751,0
289,Friday,12,1,en,1467,1,0,57,0.0,3776,0
290,Friday,12,1,_u,474,0,0,46,0.0,1337,0
291,Friday,12,1,en,619,0,0,44,0.0,3781,0
292,Friday,12,1,en,272,3,0,36,0.0,2654,1
293,Friday,12,1,en,39,11,0,26,0.0,289,1
294,Friday,12,1,en,4152,0,0,58,-4.0,3753,0
295,Friday,12,1,en,197,1,0,39,0.0,3782,1
296,Friday,12,1,en,8,0,0,14,1.0,3783,0
297,Friday,12,1,en,225186,2,0,64,0.0,3784,0
298,Friday,12,1,en,2561,1,0,51,0.0,3785,1
299,Friday,12,1,en,44,0,0,36,0.0,3751,0
300,Friday,12,1,en,50,1,0,26,0.0,3737,0
301,Friday,12,1,en,307,0,0,31,-1.5,3019,0
302,Friday,12,1,en,503,0,0,49,0.0,3786,0
303,Friday,12,1,en,471,1,0,32,0.0,3753,1
304,Friday,12,1,en,224,0,0,40,0.0,464,0
305,Friday,12,1,en,333,0,0,44,0.0,1330,0
306,Friday,12,1,en,1194,0,0,50,1.5,3775,0
307,Friday,12,1,en,947,1,0,40,1.0,3783,1
308,Friday,12,1,en,216,0,0,31,3.0,3027,0
309,Friday,13,1,en,8945,0,0,55,0.0,1329,0
310,Friday,13,1,en,8945,0,0,55,0.0,1329,0
311,Friday,13,1,en,137,0,0,31,1.0,79,0
312,Friday,13,1,en,8627,5,0,60,0.0,3766,0
313,Friday,13,1,en,8945,0,0,55,0.0,1329,0
314,Friday,13,1,en,126,0,0,28,0.0,3753,0
315,Friday,13,1,en,115,0,0,38,1.0,3787,0
316,Friday,13,1,en,925,0,0,49,1.0,3766,0
317,Friday,13,1,en,1903,6,0,55,0.0,2655,1
318,Friday,13,1,en,1042,0,0,40,0.0,3739,0
319,Friday,13,1,en,75,0,0,45,0.0,1338,0
320,Friday,13,1,en,127,0,0,27,4.0,3788,0
321,Friday,13,1,en,321,0,0,41,2.0,3789,0
322,Friday,13,1,en,127,0,0,27,0.5,3788,0
323,Friday,13,1,en,487,0,0,45,0.0,3019,0
324,Friday,13,1,en,882,1,0,44,0.0,3751,1
